rift_density,resource_count,initial_fuel,base_supply,resource_supply,seed_start,seed_count,seed_end,total_runs,direct_feasible_count,direct_feasible_ratio,via_base_feasible_count,via_base_feasible_ratio,via_resource_feasible_count,via_resource_feasible_ratio,any_feasible_count,any_feasible_ratio,still_infeasible_count,still_infeasible_ratio,direct_failure_count,rescued_by_base_count,rescued_by_base_ratio,rescued_by_resource_count,rescued_by_resource_ratio,base_only_rescue_count,base_only_rescue_ratio,resource_only_rescue_count,resource_only_rescue_ratio,both_supply_options_count,both_supply_options_ratio,base_rescue_rate_among_direct_failures,resource_rescue_rate_among_direct_failures,any_rescue_rate_among_direct_failures,base_only_share_among_rescued,any_feasible_ratio_delta_vs_r0,still_infeasible_ratio_delta_vs_r0,remaining_fuel_at_goal_sample_count,remaining_fuel_at_goal_excluded_count,remaining_fuel_at_goal_min,remaining_fuel_at_goal_median,remaining_fuel_at_goal_p90,remaining_fuel_at_goal_max,required_supply_sample_count,required_supply_excluded_count,required_supply_min,required_supply_median,required_supply_p90,required_supply_max,best_cost_via_resource_sample_count,best_cost_via_resource_excluded_count,best_cost_via_resource_min,best_cost_via_resource_median,best_cost_via_resource_p90,best_cost_via_resource_max
0.10,0,14,8,5,1,1000,1000,1000,94,0.094,971,0.971,0,0.0,971,0.971,29,0.029,906,877,0.877,0,0.0,877,0.877,0,0.0,0,0.0,0.9679911699779249,0.0,0.9679911699779249,1.0,0.0,0.0,971,29,0,5,7,8,977,23,0,3,5,10,0,1000,N/A,N/A,N/A,N/A
0.10,0,14,10,5,1,1000,1000,1000,94,0.094,977,0.977,0,0.0,977,0.977,23,0.023,906,883,0.883,0,0.0,883,0.883,0,0.0,0,0.0,0.9746136865342163,0.0,0.9746136865342163,1.0,0.0,0.0,977,23,0,7,9,10,977,23,0,3,5,10,0,1000,N/A,N/A,N/A,N/A
0.10,0,14,12,5,1,1000,1000,1000,94,0.094,977,0.977,0,0.0,977,0.977,23,0.023,906,883,0.883,0,0.0,883,0.883,0,0.0,0,0.0,0.9746136865342163,0.0,0.9746136865342163,1.0,0.0,0.0,977,23,2,9,11,12,977,23,0,3,5,10,0,1000,N/A,N/A,N/A,N/A
0.10,0,16,8,5,1,1000,1000,1000,615,0.615,977,0.977,0,0.0,977,0.977,23,0.023,385,362,0.362,0,0.0,362,0.362,0,0.0,0,0.0,0.9402597402597402,0.0,0.9402597402597402,1.0,0.0,0.0,977,23,0,7,9,10,977,23,0,0,3,8,0,1000,N/A,N/A,N/A,N/A
0.10,0,16,10,5,1,1000,1000,1000,615,0.615,977,0.977,0,0.0,977,0.977,23,0.023,385,362,0.362,0,0.0,362,0.362,0,0.0,0,0.0,0.9402597402597402,0.0,0.9402597402597402,1.0,0.0,0.0,977,23,2,9,11,12,977,23,0,0,3,8,0,1000,N/A,N/A,N/A,N/A
0.10,0,16,12,5,1,1000,1000,1000,615,0.615,977,0.977,0,0.0,977,0.977,23,0.023,385,362,0.362,0,0.0,362,0.362,0,0.0,0,0.0,0.9402597402597402,0.0,0.9402597402597402,1.0,0.0,0.0,977,23,4,11,13,14,977,23,0,0,3,8,0,1000,N/A,N/A,N/A,N/A
0.10,0,18,8,5,1,1000,1000,1000,922,0.922,977,0.977,0,0.0,977,0.977,23,0.023,78,55,0.055,0,0.0,55,0.055,0,0.0,0,0.0,0.7051282051282052,0.0,0.7051282051282052,1.0,0.0,0.0,977,23,2,9,11,12,977,23,0,0,0,5,0,1000,N/A,N/A,N/A,N/A
0.10,0,18,10,5,1,1000,1000,1000,922,0.922,977,0.977,0,0.0,977,0.977,23,0.023,78,55,0.055,0,0.0,55,0.055,0,0.0,0,0.0,0.7051282051282052,0.0,0.7051282051282052,1.0,0.0,0.0,977,23,4,11,13,14,977,23,0,0,0,5,0,1000,N/A,N/A,N/A,N/A
0.10,0,18,12,5,1,1000,1000,1000,922,0.922,977,0.977,0,0.0,977,0.977,23,0.023,78,55,0.055,0,0.0,55,0.055,0,0.0,0,0.0,0.7051282051282052,0.0,0.7051282051282052,1.0,0.0,0.0,977,23,6,13,15,16,977,23,0,0,0,5,0,1000,N/A,N/A,N/A,N/A
0.10,0,20,8,5,1,1000,1000,1000,971,0.971,977,0.977,0,0.0,977,0.977,23,0.023,29,6,0.006,0,0.0,6,0.006,0,0.0,0,0.0,0.20689655172413793,0.0,0.20689655172413793,1.0,0.0,0.0,977,23,4,11,13,14,977,23,0,0,0,2,0,1000,N/A,N/A,N/A,N/A
